Coord_centroid,Bbox,Face,Name_hdr,Species
"(31.878075753386785, 1728.5843240254355)","[0, 2963, 70, 3090]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain0.hdr,2
"(23.49442655437206, 5309.213029477334)","[0, 6558, 56, 6651]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain1.hdr,2
"(8.352508361204013, 5625.977257525084)","[0, 6871, 21, 6968]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain2.hdr,2
"(7.636268343815513, 6462.378406708595)","[0, 7700, 20, 7829]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain3.hdr,2
"(41.89139369784531, 4376.529082077469)","[6, 5606, 79, 5747]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain4.hdr,2
"(65.14338873728603, 3883.045150086827)","[10, 5128, 118, 5240]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain5.hdr,2
"(75.5793875623904, 3534.407527316876)","[23, 4787, 131, 4884]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain6.hdr,2
"(77.71321788962253, 1435.7560732527718)","[28, 2677, 129, 2799]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain7.hdr,2
"(105.1992859032002, 3133.4025390108436)","[39, 4394, 170, 4476]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain8.hdr,2
"(93.05682301261159, 2671.1482216239197)","[47, 3919, 142, 4029]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain9.hdr,2
"(98.96330022075055, 2328.915976821192)","[65, 3558, 134, 3698]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain10.hdr,2
"(107.88013229927007, 663.5228102189781)","[69, 1893, 148, 2038]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain11.hdr,2
"(145.01982220086498, 943.25)","[93, 2185, 200, 2300]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain12.hdr,2
"(300.8435653315824, 6390.130006565988)","[242, 7654, 359, 7725]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain13.hdr,2
"(305.843874391862, 6093.931446262715)","[270, 7331, 342, 7457]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain14.hdr,2
"(335.75711481844945, 5696.124877330716)","[271, 6954, 401, 7037]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain15.hdr,2
"(347.253684680661, 3542.8195623046004)","[298, 4789, 401, 4896]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain16.hdr,2
"(379.2502606882169, 5221.6430805899)","[325, 6476, 437, 6567]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain17.hdr,2
"(405.0051241175131, 4711.708950125256)","[339, 5970, 469, 6056]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain18.hdr,2
"(426.0823859836833, 526.8691988765547)","[369, 1774, 481, 1881]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain19.hdr,2
"(452.34463684463685, 4043.634199134199)","[394, 5294, 511, 5393]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain20.hdr,2
"(475.72961217832545, 3134.2242358342396)","[412, 4395, 542, 4476]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain21.hdr,2
"(472.5012970969734, 995.7108091414453)","[420, 2241, 531, 2349]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain22.hdr,2
"(470.9815587562256, 4305.760398438551)","[424, 5549, 521, 5668]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain23.hdr,2
"(496.0315486470927, 2241.3662636729996)","[432, 3498, 563, 3586]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain24.hdr,2
"(472.5302238305857, 1411.018228119555)","[433, 2648, 514, 2774]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain25.hdr,2
"(504.3511062749365, 2693.2911377100713)","[446, 3943, 565, 4046]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain26.hdr,2
"(541.4004652301666, 1763.3443927522037)","[478, 3020, 605, 3107]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain27.hdr,2
"(665.0929723817337, 5584.372026251025)","[603, 6839, 725, 6928]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain28.hdr,2
"(759.9266684607104, 6532.739101184069)","[710, 7780, 814, 7888]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain29.hdr,2
"(790.1538367844092, 5119.103288672351)","[734, 6363, 849, 6476]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain30.hdr,2
"(811.8062548663379, 6057.407215157021)","[745, 7319, 876, 7395]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain31.hdr,2
"(821.7499675282504, 3952.7845174698014)","[762, 5207, 882, 5300]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain32.hdr,2
"(827.9878048780488, 4722.480792682927)","[771, 5974, 880, 6073]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain33.hdr,2
"(884.2298039215686, 3575.3823529411766)","[824, 4830, 946, 4922]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain34.hdr,2
"(865.7557233891905, 3101.692471088034)","[825, 4333, 906, 4472]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain35.hdr,2
"(889.2102154653834, 1498.9162200590615)","[833, 2739, 951, 2859]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain36.hdr,2
"(881.7942957083277, 4352.253598816091)","[846, 5588, 919, 5719]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain37.hdr,2
"(931.348934448341, 1074.6834367413003)","[885, 2317, 977, 2434]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain38.hdr,2
"(962.1105656848995, 2746.230832164563)","[894, 4004, 1033, 4090]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain39.hdr,2
"(955.9214452214452, 1985.7268065268065)","[903, 3224, 1006, 3349]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain40.hdr,2
"(962.0404977375565, 660.5547511312217)","[914, 1895, 1010, 2027]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain41.hdr,2
"(962.1631528509822, 2247.1805222807857)","[919, 3482, 1005, 3612]",1,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain42.hdr,2
"(1147.1370539572786, 6564.779355475985)","[1086, 7816, 1209, 7913]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain43.hdr,2
"(1161.4156130379306, 5269.6510845609555)","[1091, 6532, 1236, 6610]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain44.hdr,2
"(1207.6026178545865, 5568.465691788527)","[1142, 6811, 1273, 6927]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain45.hdr,2
"(1214.2607138288347, 6094.498528847384)","[1160, 7337, 1265, 7452]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain46.hdr,2
"(1244.6376811594203, 4359.735713444091)","[1177, 5622, 1318, 5699]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain47.hdr,2
"(1263.6494050242397, 4671.767739092111)","[1202, 5918, 1328, 6027]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain48.hdr,2
"(1274.5407194604047, 3693.8225081189107)","[1203, 4956, 1347, 5030]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain49.hdr,2
"(1252.8258172890555, 3105.4682775552396)","[1216, 4341, 1291, 4472]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain50.hdr,2
"(1275.2672436401783, 3980.9508261211645)","[1227, 5221, 1324, 5340]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain51.hdr,2
"(1306.5447903787795, 1045.8191525233224)","[1242, 2290, 1370, 2398]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain52.hdr,2
"(1334.4268615345848, 2763.2417790097015)","[1267, 4020, 1400, 4107]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain53.hdr,2
"(1321.5446580676564, 2333.83730834753)","[1275, 3572, 1369, 3697]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain54.hdr,2
"(1385.0743847874721, 1861.125279642058)","[1324, 3104, 1445, 3219]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain55.hdr,2
"(1371.4205245980902, 1545.3252749909343)","[1329, 2783, 1416, 2911]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain56.hdr,2
"(1502.431292238378, 749.6471431497031)","[1433, 1999, 1572, 2099]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain57.hdr,2
"(1590.9380958276588, 6586.567042218646)","[1520, 7848, 1664, 7924]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain58.hdr,2
"(1605.5296793268137, 4747.555719808961)","[1533, 6006, 1682, 6088]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain59.hdr,2
"(1593.3283032319391, 5714.016397338403)","[1540, 6958, 1652, 7073]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain60.hdr,2
"(1620.1274403470716, 4350.5082700650755)","[1570, 5596, 1674, 5706]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain61.hdr,2
"(1651.2728046833422, 3969.4121341138903)","[1582, 5222, 1721, 5317]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain62.hdr,2
"(1632.528382873699, 5162.936903101191)","[1585, 6389, 1683, 6529]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain63.hdr,2
"(1680.3183103276235, 5956.794279062032)","[1621, 7213, 1739, 7302]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain64.hdr,2
"(1720.272417707151, 2274.6863791146425)","[1652, 3527, 1794, 3623]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain65.hdr,2
"(1761.8512471655329, 3570.1937641723357)","[1693, 4826, 1832, 4914]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain66.hdr,2
"(1760.96524649247, 1882.6283949028189)","[1713, 3126, 1814, 3236]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain67.hdr,2
"(1788.5679734219268, 3065.9759468438538)","[1727, 4320, 1847, 4413]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain68.hdr,2
"(1795.628593831678, 643.5950078410873)","[1728, 1905, 1865, 1984]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain69.hdr,2
"(1848.8044768736088, 1090.3079396487756)","[1786, 2342, 1911, 2438]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain70.hdr,2
"(1866.8104950495049, 1452.9077227722773)","[1814, 2686, 1920, 2820]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain71.hdr,2
"(1911.5991527364324, 2695.222807419281)","[1867, 3932, 1957, 4060]",0,var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr_grain72.hdr,2
